requirement_id,implementation_status,code_reference,test_reference,acceptance_evidence,notes,last_updated
GOV-001,IMPLEMENTED,"docs/source; docs/IMPLEMENTATION_STATUS.md",DQ-P0-REQ-001,reports/gates/PHASE_0_GATE_REPORT.md,"Living Context is separated from the immutable package; 01 remains a recorded baseline omission.",2026-08-15
GOV-002,IMPLEMENTED,"AGENTS.md; docs/source/13_MASS_PRODUCTION_QUALITY_VALIDATION_CODEX_MASTER_IMPLEMENTATION_SPEC.md",DQ-P0-REQ-001,reports/gates/PHASE_0_GATE_REPORT.md,"Current-conversation override is recorded; continuing operational contract remains cross-phase.",2026-08-15
GOV-003,IMPLEMENTED,"AGENTS.md; docs/IMPLEMENTATION_STATUS.md",DQ-P0-REQ-001,reports/gates/PHASE_0_GATE_REPORT.md,"Decision boundary is recorded; continuing operational contract remains cross-phase.",2026-08-15
GOV-004,IN_PROGRESS,"backend/app/domain/ai_mapping.py; backend/app/application/ai_mapping_candidate.py; backend/app/domain/data_review.py; backend/app/application/data_review.py",DQ-P1-AIMAP-006;DQ-P1-AIMAP-008;DQ-P1-AIMAP-011;DQ-P1-DSTAT-002,reports/gates/PHASE_1_GATE_REPORT.md,"AI hints remain untrusted and an approved-Master Spec judgment is stored separately from data trust status; fact/inference UI labels remain unimplemented.",2026-08-15
GOV-007,IN_PROGRESS,"backend/app/domain/audit.py; backend/app/infrastructure/audit.py; backend/app/application/bulk_finalization.py; backend/app/infrastructure/bulk_finalization.py; backend/app/application/result_replacement.py; backend/app/infrastructure/result_replacement.py; backend/migrations/versions/0007_persist_bulk_finalization.py; backend/migrations/versions/0008_persist_result_replacement_chain.py",DQ-P0-MIG-002;DQ-P0-AUDIT-001;DQ-P1-MAP-011;DQ-P1-MASTER-009;DQ-P1-DSTAT-009;DQ-P2-BULKFINAL-006;DQ-P2-REPL-003;DQ-P2-REPL-005;DQ-P2-REPL-008;DQ-P2-REPL-009;DQ-P2-REPL-010,reports/gates/PHASE_2_GATE_REPORT.md,"Mapping, Master, data-status, explicit Bulk-finalization, and explicit paired-replacement mutations use CAS-protected atomic Audit decisions; other cross-phase histories remain incomplete.",2026-08-16
GOV-008,IN_PROGRESS,"backend/app/domain/identity.py; backend/app/application/mapping_template_commands.py; backend/app/application/mapping_registration.py; backend/app/api/mapping.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/application/data_review.py; backend/app/application/data_review_workflow.py; backend/app/api/data_review.py; backend/app/application/result_replacement.py; backend/app/api/result_replacement.py; frontend/src/MappingWorkspacePanel.tsx; frontend/src/ConfigurationWorkspacePanel.tsx; frontend/src/HistoricalWorkspacePanel.tsx; frontend/src/api/replacement.ts; backend/app/application/master_config_commands.py; backend/app/domain/ai_mapping.py",DQ-P0-IDENTITY-001;DQ-P1-MAP-011;DQ-P1-MAP-013;DQ-P1-AIMAP-006;DQ-P1-MASTER-002;DQ-P1-MASTER-003;DQ-P1-MASTER-005;DQ-P1-MASTER-006;DQ-P1-DSTAT-003;DQ-P1-DSTAT-004;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007;DQ-P1-MAPUI-009;DQ-P1-DSTATUI-005;DQ-P1-CFGUI-005;DQ-P1-CFGUI-008;DQ-P1-CFGUI-010;DQ-P2-REPL-006;DQ-P2-REPLUI-001;DQ-P2-REPLUI-002,reports/gates/PHASE_2_GATE_REPORT.md,"The local UI keeps Reviewer and Admin actions separate; paired replacement requires a confirmed ADMIN command and rejects forged, stale, or cross-project evidence; production authentication remains incomplete.",2026-08-16
GOV-009,VERIFIED,"requirements/PHASE_0_1_GATE_SCOPE.csv; scripts/check_requirements.py",DQ-P0-REQ-001,reports/gates/PHASE_0_GATE_REPORT.md,"Phase 0 closed with 333 immutable baseline IDs plus 9 amendments; the current integrity Gate verifies the same baseline plus 13 Living amendments.",2026-08-15
GOV-010,VERIFIED,"backend/app/config.py; backend/app/main.py; backend/app/version.py",DQ-P0-NAME-001,reports/gates/PHASE_0_GATE_REPORT.md,"New runtime artifacts use the official Mass Production Quality Validation name.",2026-08-15
GOV-011,IMPLEMENTED,"docs/source/13_MASS_PRODUCTION_QUALITY_VALIDATION_CODEX_MASTER_IMPLEMENTATION_SPEC.md; docs/IMPLEMENTATION_STATUS.md",DQ-P0-NAME-001,reports/gates/PHASE_0_GATE_REPORT.md,"Legacy baseline wording is interpreted by the Living override; the rule remains cross-phase.",2026-08-15
GOV-012,IMPLEMENTED,"README.md; docs/IMPLEMENTATION_STATUS.md",DQ-P0-REQ-001,reports/gates/PHASE_0_GATE_REPORT.md,"Product definition is retained; business capability delivery remains future-phase work.",2026-08-15
ARC-020,VERIFIED,"docs/adr/0001-reference-stack.md; backend/app/infrastructure/database.py; scripts/Bootstrap.ps1",DQ-P0-BOOT-001;DQ-P0-HEALTH-001;DQ-P0-MIG-001,reports/gates/PHASE_0_GATE_REPORT.md,"Clean Python 3.12 bootstrap, SQLite migration, readiness and Windows Gate passed.",2026-08-15
EXC-001,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Photo AI analysis is excluded; workbook images may retain location metadata only.",2026-08-15
EXC-002,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Measurement-device serial and calibration-certificate management is excluded.",2026-08-15
EXC-003,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Supplier response-speed scoring is excluded.",2026-08-15
EXC-004,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Supplier email auto-send is excluded.",2026-08-15
EXC-005,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Automatic shipment Hold is excluded.",2026-08-15
EXC-006,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Automatic Master Spec change is excluded.",2026-08-15
EXC-007,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Automatic supply-ratio decision is excluded.",2026-08-15
EXC-008,VERIFIED,backend/app/domain/scope.py,DQ-P0-SCOPE-001,reports/gates/PHASE_0_GATE_REPORT.md,"Claim-based market no-issue scoring is excluded.",2026-08-15
