requirement_id,phase,scope_disposition,required_test_ids,evidence_limit
GOV-001,Phase 0,REQUIRED,DQ-P0-BASELINE-001,"Baseline/Living Context separation"
GOV-002,Phase 0,REQUIRED,DQ-P0-REQ-001,"latest user decisions represented"
GOV-003,Phase 0,REQUIRED,DQ-P0-REQ-001,"governance decision boundary"
GOV-004,Phase 1,PARTIAL_FACT_JUDGMENT_BOUNDARY,DQ-P1-AIMAP-006;DQ-P1-AIMAP-008;DQ-P1-AIMAP-011;DQ-P1-DSTAT-002,"AI output remains review-only and an approved-Master Spec judgment remains separate from data trust status; fact/inference UI labels remain future work"
GOV-007,Phase 0·1·2,PARTIAL_PERSISTENT_REVISION,DQ-P0-MIG-001;DQ-P0-MIG-002;DQ-P0-AUDIT-001;DQ-P1-MAP-002;DQ-P1-MAP-011;DQ-P1-MAP-012;DQ-P1-MAP-015;DQ-P1-MASTER-002;DQ-P1-MASTER-003;DQ-P1-MASTER-004;DQ-P1-MASTER-006;DQ-P1-MASTER-009;DQ-P1-DSTAT-007;DQ-P1-DSTAT-008;DQ-P1-DSTAT-009;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007;DQ-P2-BULKFINAL-006;DQ-P2-REPL-003;DQ-P2-REPL-005;DQ-P2-REPL-008;DQ-P2-REPL-009;DQ-P2-REPL-010,"Mapping, Master, row-binding, data-status, explicit Bulk finalization, and explicit paired result replacement persist with CAS and atomic Audit; other cross-phase revision flows remain future work"
GOV-008,Phase 0·1·2,PARTIAL_AUTHORIZATION,DQ-P0-IDENTITY-001;DQ-P1-MAP-011;DQ-P1-MAP-013;DQ-P1-AIMAP-006;DQ-P1-MASTER-002;DQ-P1-MASTER-003;DQ-P1-MASTER-005;DQ-P1-MASTER-006;DQ-P1-DSTAT-003;DQ-P1-DSTAT-004;DQ-P1-MAPUI-006;DQ-P1-MAPUI-007;DQ-P1-MAPUI-009;DQ-P1-DSTATUI-005;DQ-P1-CFGUI-005;DQ-P1-CFGUI-008;DQ-P1-CFGUI-010;DQ-P2-REPL-006;DQ-P2-REPLUI-001;DQ-P2-REPLUI-002,"trusted local UI commands keep Reviewer and Admin actions separate; paired replacement requires a confirmed ADMIN command and rejects forged, stale, or cross-project evidence; production authentication remains future work"
GOV-009,Phase 0,REQUIRED,DQ-P0-REQ-001,"baseline 333 plus separate amendments integrity"
GOV-010,Phase 0,REQUIRED,DQ-P0-NAME-001,"new artifacts use Mass Production Quality Validation"
GOV-011,Phase 0,REQUIRED,DQ-P0-NAME-001,"legacy name interpretation only"
GOV-012,Phase 0,REQUIRED,DQ-P0-REQ-001,"product definition retained"
ARC-020,Phase 0,REQUIRED,DQ-P0-BOOT-001;DQ-P0-HEALTH-001,"Windows-first local foundation and live/readiness contract"
EXC-001,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-002,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-003,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-004,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-005,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-006,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-007,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
EXC-008,Phase 0,REQUIRED,DQ-P0-SCOPE-001,"negative scope guard"
ARC-017,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-FSTORE-001,"read-only source handling"
ARC-018,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-SCAN-005,"macro is never executed"
ARC-019,Phase 1,FIRST_SCANNER_SLICE,DQ-P1-SCAN-005,"image metadata only"
ARC-007,Phase 1·2,PARTIAL_DURABLE_RESTART,DQ-P1-LDB-004;DQ-P1-LDB-005;DQ-P1-LDB-006;DQ-P1-KOQC-006;DQ-P1-LONGUI-006;DQ-P1-DSTATUI-006;DQ-P2-BULK-008;DQ-P2-BULK-009;DQ-P2-BULKFINAL-005;DQ-P2-BULKFINAL-006;DQ-P2-REPL-007,"receipt-scoped replay plus durable Bulk, finalization, and result-replacement idempotency are implemented with bounded recovery and restart; replacement replay rejects branch, merge, and cycle attempts, while Scheduler queue retry remains Phase 5"
