requirement_id,requirement,source_docs,baseline_status,epic,planned_phase,planned_module,required_test_evidence,implementation_status,code_reference,test_reference,acceptance_evidence,notes,decision_date,amendment_type,supersedes_or_clarifies
GOV-013,"대표 OQC Golden Acceptance의 최종 확인자는 실제 사용자이며, 자동 Test와 대조 Evidence를 확인한 사용자 승인이 있어야 Gate를 닫는다.","04, 11, 12, 13-LIVING",POST_BASELINE_APPROVED,Governance,Phase 1,docs / reports / acceptance,"representative workbook comparison + user sign-off",BLOCKED_BY_INPUT,,,,"대표 OQC 입력 전에는 Synthetic Fixture로 VERIFIED 선언 금지",2026-08-15,NEW,"Golden Gate acceptance ownership"
ARC-022,"Mass Production Quality Validation는 사용자가 선택해 설치하는 개인용 Cloud Scheduler 확장팩이며, 설치하지 않아도 Scheduler의 기존 동작은 바뀌지 않는다.","03, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,"Phase 0·1·5",packaging / extension boundary,"extension absent regression + opt-in install acceptance",IN_PROGRESS,"packaging/extension-manifest.json; packaging/Launch-MassProductionQualityValidation.ps1; scripts/release/package_tool.py",DQ-P1-WINPKG-001;DQ-P1-WINPKG-003;DQ-P1-WINPKG-006,reports/gates/PHASE_1_GATE_REPORT.md,"선택 설치 local package는 구현; Scheduler discovery와 실연동은 Phase 5 전까지 DEFERRED_BY_PHASE",2026-08-15,CLARIFICATION,"ARC-001; optional local deployment"
ARC-023,"Mass Production Quality Validation의 코드·사용자 데이터·설정·버전·rollback은 Scheduler와 분리하며, 확장팩 update/remove 실패가 Scheduler 또는 DQ 사용자 데이터를 손상시키지 않는다.","03, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,"Phase 0·1·5",storage / packaging / release,"independent version + rollback + data-preservation tests",IN_PROGRESS,"packaging/Launch-MassProductionQualityValidation.ps1; scripts/release/package_tool.py",DQ-P1-WINPKG-003;DQ-P1-WINPKG-004;DQ-P1-WINPKG-005,reports/gates/PHASE_1_GATE_REPORT.md,"코드·데이터 분리와 local rollback/data preservation은 구현; fully offline runtime과 Scheduler lifecycle은 후속",2026-08-15,NEW,"independent extension ownership"
ARC-024,"Scheduler는 OQC 분류와 이동이 끝난 뒤 최종 Outlook Mail Locator를 versioned envelope로 전달하고, Mass Production Quality Validation는 해당 참조만 fetch하며 메일함 전체를 재검색하지 않는다.","03, 04, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,Phase 5,infrastructure / scheduler adapter,"locator-open + no-full-mailbox-scan + atomic-envelope contract",DEFERRED_BY_PHASE,,,,"Provider와 실제 locator field는 BLOCKED_BY_INPUT; Scheduler DB 직접 접근 금지",2026-08-15,CLARIFICATION,"ARC-002; ARC-003; ING-048"
ARC-025,"Scheduler는 모든 DQ 대상 메일 참조를 공통 inbox에 모으되 DQ 프로젝트를 배정하지 않고, Mass Production Quality Validation가 workbook 근거로 프로젝트를 routing한다. 미등록과 애매함은 기존 Queue 상태와 reason code로 보류한다.","03, 04, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,"Phase 1·5",application / project routing,"registered + unregistered + ambiguous + duplicate routing tests",IN_PROGRESS,backend/app/application/store_scan_mapping.py,DQ-P1-ROUTE-006,reports/gates/PHASE_1_GATE_REPORT.md,"Resolved project/supplier scope consumer와 fail-closed mismatch는 구현; workbook 기반 프로젝트 후보 생성·미등록·ambiguous routing은 후속 Slice",2026-08-15,NEW,"common inbox and DQ-owned project routing"
ARC-026,"개인 사용자는 한 로컬 설치에서 여러 프로젝트를 운영할 수 있고, 프로젝트별 데이터·설정·원본 File Store·파생결과를 격리하여 프로젝트 간 통계나 원본이 섞이지 않게 한다.","03, 04, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,"Phase 0·1",domain / persistence / file store,"cross-project isolation + wrong-project negative tests",IN_PROGRESS,"backend/app/infrastructure/file_store/original.py; backend/app/infrastructure/mapping_templates.py; backend/app/application/store_scan_mapping.py; backend/app/domain/long_format.py; backend/app/application/long_candidate.py; backend/app/application/long_persistence.py; backend/app/infrastructure/long_format.py; backend/app/application/intake_jobs.py; backend/app/api/intake.py",DQ-P1-FSTORE-006;DQ-P1-MAP-007;DQ-P1-MAP-010;DQ-P1-ROUTE-003;DQ-P1-ROUTE-006;DQ-P1-ROUTE-009;DQ-P1-LONG-004;DQ-P1-LONG-006;DQ-P1-LDB-003;DQ-P1-LDB-005;DQ-P1-LDB-007;DQ-P1-UIINTAKE-003;DQ-P1-UIINTAKE-007,reports/gates/PHASE_1_GATE_REPORT.md,"File Store·Mapping·local intake GET·PENDING/HELD Long tables와 재사용을 프로젝트별 격리; 승인 Master 설정·파생결과와 workbook 기반 upstream routing은 후속 Slice",2026-08-15,NEW,"single-user multiple-project isolation"
ARC-027,"AI endpoint·model·API key는 Scheduler에서 한 번 설정하고 Mass Production Quality Validation는 versioned AI provider profile과 현재 사용자 Secret Store의 credential reference만 사용한다. 평문 key를 복제하거나 Scheduler DB를 직접 읽지 않으며 AI-off와 장애에도 Core가 동작한다.","03, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,Phase 5,infrastructure / ai provider adapter,"shared-profile + secret-absence + rotation + AI-off/failure tests",DEFERRED_BY_PHASE,,,,"Secret Store·ACL·profile 전달 계약은 BLOCKED_BY_INPUT",2026-08-15,CLARIFICATION,"ARC-014; ARC-016; shared provider configuration"
ARC-028,"확장팩은 extension ID, DQ version, 지원 Scheduler version, 지원 contract major를 선언하고 설치·update·remove 전에 호환성을 검사한다. 비호환은 fail closed하고 실패 시 rollback한다.","03, 11, 13-LIVING",POST_BASELINE_APPROVED,Architecture,"Phase 1·5",packaging / compatibility,"compatibility matrix + fail-closed + install/update/remove rollback tests",IN_PROGRESS,"packaging/extension-manifest.json; scripts/release/package_tool.py",DQ-P1-WINPKG-002;DQ-P1-WINPKG-004;DQ-P1-WINPKG-005;DQ-P1-WINPKG-006,reports/gates/PHASE_1_GATE_REPORT.md,"DQ package identity/hash/contract와 rollback은 구현; Scheduler 설치본·version·discovery contract는 BLOCKED_BY_INPUT",2026-08-15,NEW,"extension lifecycle compatibility"
ING-051,"대표 OQC Golden Acceptance는 식별자, 적용 Spec, 금번·누적 출하, 모든 Raw Measurement, 원본 Sheet/Cell을 원본과 100% 대조하고 불일치 0건을 사용자에게 Evidence로 제시한다.","04, 11, 12, 13-LIVING",POST_BASELINE_APPROVED,Ingestion,Phase 1,ingestion / traceability / acceptance,"100% source-to-standard comparison + zero unexplained mismatch",BLOCKED_BY_INPUT,,,,"실제 대표 OQC와 승인기준 없이는 VERIFIED 불가",2026-08-15,NEW,"Mapping Gate Golden acceptance scope"
ING-052,"수동 또는 향후 Queue에서 받은 Workbook은 확장자, 선언 MIME, 실제 OOXML Workbook Content Type과 명시적 최대 크기를 검증하고 거부 시 부분 Blob·Receipt·Temp 파일을 남기지 않는다.","04, 13-LIVING, AGENTS",POST_BASELINE_CONTRACT,Ingestion,Phase 1,infrastructure / file store,"extension + MIME + OOXML type + size rejection and zero residue",IMPLEMENTED,"backend/app/infrastructure/file_store/original.py; backend/app/application/intake_jobs.py; backend/app/api/intake.py",DQ-P1-FSTORE-003;DQ-P1-UIINTAKE-002;DQ-P1-UIINTAKE-007,reports/gates/PHASE_1_GATE_REPORT.md,"Local API enforces extension, declared MIME, actual OOXML type, size, and zero staging residue; representative OQC acceptance remains open",2026-08-15,NEW,"file intake validation and atomic rejection"
